what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1350549340169
activated,editor,com.aptana.editor.ruby,3.0.3.1337406325,"com.aptana.editor.ruby",1350549342680
activated,editor,com.aptana.editor.erb,3.0.3.1337406325,"com.aptana.editor.erb.html",1350549354831
activated,editor,com.aptana.editor.ruby,3.0.3.1337406325,"com.aptana.editor.ruby",1350549361190
activated,editor,com.aptana.editor.erb,3.0.3.1337406325,"com.aptana.editor.erb.html",1350549365518
activated,editor,com.aptana.editor.ruby,3.0.3.1337406325,"com.aptana.editor.ruby",1350549372297
activated,editor,com.aptana.editor.erb,3.0.3.1337406325,"com.aptana.editor.erb.html",1350549380202
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1350549394260
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1350549406837
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1350549413004
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1350549417840
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1350549419962
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1350549445340
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1350549450261
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1350549463169
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1350549471296
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.properties",1350549471340
error,log,,,"Could not write metadata for '/'.",1350549546991
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1350549546993
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1350549547155
no handler,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1350549547274
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1350549551591
activated,editor,com.aptana.editor.erb,3.0.3.1337406325,"com.aptana.editor.erb.html",1350549553565
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1350549597350
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1350549629866
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1350549631651
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1350549651904
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1350549658094
activated,editor,com.aptana.editor.ruby,3.0.3.1337406325,"com.aptana.editor.ruby",1350549692146
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1350549717986
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1350549720932
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1350549726565
activated,editor,com.aptana.editor.erb,3.0.3.1337406325,"com.aptana.editor.erb.html",1350549732890
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1350549751179
error,log,,,"Could not save safe table.",1350549847019
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1350550222778
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1350550306520
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1350550836372
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1350550865572
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1350550897281
